Ano;CNPJ;Empresa;Substância;Alíquota;Mês Ref;Mês Pagto;Total Operações;CFEM 100%;CFEM 60%;Possível Inconsistência
2025;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;1;2;5.738.711,42;198.203,85;118.922,31;
2024;33592510000154;VALE S.A.;FERRO;3.50%;9;10;528.229.096,47;18.570.162,29;11.142.097,37;
2025;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;2;3;4.388.870,44;150.880,12;90.528,07;
2024;33592510000154;VALE S.A.;FERRO;3.50%;10;11;474.893.201,64;16.723.880,81;10.034.328,49;
2025;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;3;4;2.294.156,53;79.045,47;47.427,28;
2024;33592510000154;VALE S.A.;FERRO;3.50%;11;12;366.390.803,22;12.823.678,11;7.694.206,87;
2025;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;4;5;968.299,93;33.325,37;19.995,22;
2024;33592510000154;VALE S.A.;FERRO;3.50%;12;1;321.847.091,59;11.273.367,32;6.764.020,39;
2025;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;5;6;1.954.315,31;67.501,80;40.501,08;
2025;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;6;7;255.840,86;8.738,19;5.242,91;
2025;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;7;8;4.280.347,08;147.611,95;88.567,17;
2025;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;8;9;2.242.864,03;77.670,61;46.602,37;
2024;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;1;3;27.877.791,98;930.643,95;558.386,37;
2025;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;9;10;890.631,09;30.948,39;18.569,03;
2024;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;2;4;44.533.597,45;1.508.974,01;905.384,41;
2025;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;10;11;1.858.802,62;64.581,44;38.748,86;
2024;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;3;5;3.289.815,41;111.247,54;66.748,52;
2025;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;11;12;13.244.011,84;459.930,76;275.958,46;
2024;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;4;6;4.599.597,96;157.268,25;94.360,95;
2025;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;12;1;5.664.437,98;195.057,81;117.034,69;
2024;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;5;7;18.238.416,60;610.797,29;366.478,37;
2024;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;6;8;13.912.278,13;466.201,08;279.720,65;
2024;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;7;9;6.020.894,65;192.499,74;115.499,84;
2024;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;8;10;1.613.183,83;56.350,34;33.810,20;
2025;53639230000161;TOP BRITA LTDA;GNAISSE;1.00%;6;7;497.600,17;4.794,38;2.876,63;
2024;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;9;11;4.402.717,09;148.523,86;89.114,32;
2025;53639230000161;TOP BRITA LTDA;GNAISSE;1.00%;7;8;840.894,27;8.102,02;4.861,21;
2024;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;10;12;541.349,81;18.705,42;11.223,25;
2025;53639230000161;TOP BRITA LTDA;GNAISSE;1.00%;8;9;1.052.695,67;10.140,28;6.084,17;
2024;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;11;1;1.647.856,06;56.732,84;34.039,70;
2025;53639230000161;TOP BRITA LTDA;GNAISSE;1.00%;9;10;1.140.813,94;10.991,74;6.595,04;
2024;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;12;1;1.876.130,65;64.691,84;38.815,10;
2025;53639230000161;TOP BRITA LTDA;GNAISSE;1.00%;10;11;1.312.227,51;12.631,97;7.579,18;
2025;53639230000161;TOP BRITA LTDA;GNAISSE;1.00%;11;12;787.123,02;7.576,19;4.545,71;
2025;53639230000161;TOP BRITA LTDA;GNAISSE;1.00%;12;1;462.052,39;4.445,40;2.667,24;
2024;64225824000142;MONTEMINAS MINÉRIOS LTDA;AREIA;1.00%;11;12;8.280,00;64,87;38,92;
2025;08684547000165;MAGNESITA REFRATÁRIOS S.A;ARGILA REFRATÁRIA;2.00%;8;10;307.636,51;5.610,40;3.366,24;
2025;08684547000165;MAGNESITA REFRATÁRIOS S.A;ARGILA REFRATÁRIA;2.00%;9;11;375.382,77;6.825,46;4.095,28;
2024;08684547000165;MAGNESITA REFRATÁRIOS S.A;ARGILA REFRATÁRIA;2.00%;1;3;3.091,02;62,30;37,38;
2025;08684547000165;MAGNESITA REFRATÁRIOS S.A;ARGILA REFRATÁRIA;2.00%;10;1;547.949,72;10.386,70;6.232,02;SIM - verificar mês pagto
2024;08684547000165;MAGNESITA REFRATÁRIOS S.A;ARGILA REFRATÁRIA;2.00%;2;4;58.628,66;1.176,79;706,07;
2024;08684547000165;MAGNESITA REFRATÁRIOS S.A;ARGILA REFRATÁRIA;2.00%;3;5;47.662,35;955,25;573,15;
2024;08684547000165;MAGNESITA REFRATÁRIOS S.A;ARGILA REFRATÁRIA;2.00%;4;7;65.472,78;1.377,12;826,27;
2024;08684547000165;MAGNESITA REFRATÁRIOS S.A;ARGILA REFRATÁRIA;2.00%;5;7;45.489,59;913,34;548,00;
2025;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;1;2;28.100.936,12;994.048,52;596.429,11;
2024;08684547000165;MAGNESITA REFRATÁRIOS S.A;ARGILA REFRATÁRIA;2.00%;6;8;44.568,38;894,04;536,42;
2025;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;2;3;31.277.666,01;1.079.194,86;647.516,92;
2024;08684547000165;MAGNESITA REFRATÁRIOS S.A;ARGILA REFRATÁRIA;2.00%;7;9;44.641,46;894,53;536,72;
2025;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;3;4;24.854.834,71;869.667,01;521.800,21;
2024;08684547000165;MAGNESITA REFRATÁRIOS S.A;ARGILA REFRATÁRIA;2.00%;8;10;13.511,15;270,57;162,34;
2025;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;4;5;17.267.582,46;603.683,48;362.210,09;
2024;08684547000165;MAGNESITA REFRATÁRIOS S.A;ARGILA REFRATÁRIA;2.00%;9;12;43.127,84;936,03;561,62;
2025;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;5;6;29.213.490,87;1.014.357,95;608.614,77;
2024;08684547000165;MAGNESITA REFRATÁRIOS S.A;ARGILA REFRATÁRIA;2.00%;10;12;6.823,58;137,32;82,39;
2025;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;6;7;24.884.601,78;866.423,70;519.854,22;
2024;08684547000165;MAGNESITA REFRATÁRIOS S.A;ARGILA REFRATÁRIA;2.00%;11;1;24.696,34;495,61;297,37;
2025;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;7;8;25.805.084,27;894.908,49;536.945,09;
2024;08684547000165;MAGNESITA REFRATÁRIOS S.A;ARGILA REFRATÁRIA;2.00%;12;2;10.225,64;204,74;122,84;
2025;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;8;9;22.979.953,09;804.803,88;482.882,33;
2025;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;9;10;29.733.138,91;1.042.533,05;625.519,83;
2025;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;10;11;30.847.737,04;1.077.330,03;646.398,02;
2025;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;11;12;29.475.595,75;1.031.645,85;618.987,51;
2024;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;1;2;33.309.988,14;1.133.073,51;679.844,11;
2025;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;12;2;357.383,43;12.533,44;7.520,06;
2024;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;2;3;34.863.074,78;1.192.997,17;715.798,30;
2025;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;12;1;33.872.377,12;1.182.912,35;709.747,41;
2024;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;3;5;7.702,57;270,16;162,10;
2024;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;3;4;37.163.601,59;1.279.209,01;767.525,41;
2024;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;4;5;34.131.616,48;1.183.448,28;710.068,97;
2024;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;5;6;42.548.356,84;1.488.929,18;893.357,51;
2025;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;1;3;306.206,40;5.895,64;3.537,38;
2024;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;6;7;23.775.800,81;814.962,45;488.977,47;
2025;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;2;4;292.313,40;5.581,50;3.348,90;
2024;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;7;8;35.339.389,21;1.208.906,60;725.343,96;
2025;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;3;5;267.163,50;5.066,82;3.040,09;
2024;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;8;9;35.945.201,65;1.230.667,92;738.400,75;
2025;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;4;6;356.625,00;6.758,19;4.054,91;
2024;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;9;10;16.737.790,14;578.437,61;347.062,57;
2025;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;5;7;339.503,00;6.446,53;3.867,92;
2024;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;10;11;28.557.992,64;986.712,45;592.027,47;
2025;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;6;8;293.959,10;5.558,27;3.334,96;
2024;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;11;12;23.594.682,63;814.895,91;488.937,55;
2025;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;7;9;353.023,50;6.683,40;4.010,04;
2024;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;12;1;41.220.754,75;1.418.101,12;850.860,67;
2025;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;8;10;380.256,50;7.156,91;4.294,15;
2025;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;9;11;360.530,00;6.763,35;4.058,01;
2025;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;10;12;354.245,00;6.634,60;3.980,76;
2025;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;11;1;301.469,81;5.645,15;3.387,09;
2024;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;1;3;211.912,00;4.057,28;2.434,37;
2025;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;12;2;319.086,00;5.960,11;3.576,07;
2024;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;2;4;189.544,75;3.608,98;2.165,39;
2024;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;3;5;244.402,50;4.656,58;2.793,95;
2024;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;4;7;271.276,00;5.282,66;3.169,60;
2024;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;5;7;277.420,50;5.287,18;3.172,31;
2024;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;6;8;219.815,50;4.172,32;2.503,39;
2024;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;7;9;313.407,50;5.951,30;3.570,78;
2024;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;8;10;351.283,40;6.691,56;4.014,94;
2024;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;9;11;218.521,00;4.181,24;2.508,74;
2024;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;10;12;342.172,00;6.511,95;3.907,17;
2024;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;11;1;271.192,50;5.149,36;3.089,62;
2024;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;12;2;218.838,30;4.140,54;2.484,32;
